           ,       ,        ,stdR               ,stdR              ,stdR              ,stdR              ,stdR               ,stdR               ,stdR              ,stdR              ,stdR              ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdR               ,stdTheta               ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta             ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta             ,stdTheta             ,stdTheta            ,stdTheta             ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta            ,stdTheta
2018090600 ,37     ,8       ,52.53578304355994  ,80.29865814570005 ,76.14095612743512 ,70.13490571748136 ,95.6036908283357   ,98.77387154505992  ,70.10337010443935 ,64.31300024100882 ,74.94554890051845 ,114.48634198016809 ,59.97687887844781  ,61.73857141204354  ,44.85115940530412  ,44.15210640501764  ,65.51261328935063  ,47.3919507933573   ,56.88436340506941  ,49.02953497637929  ,52.13955312428368  ,54.30737426906221  ,45.592202184145485 ,58.88898453870639  ,                   ,62.4339210685986   ,0.5355555031119354     ,0.5347169927239916  ,0.674658897673546   ,0.5565589645136141  ,0.16910374079464843  ,0.4137321722959346  ,0.1847783741722548  ,0.390150337763507   ,0.39688494907171085 ,0.23870795744621134  ,0.14354760721987792  ,0.2614788157122493  ,0.1820471347223554   ,0.0857180610042482  ,0.8401482778234498  ,0.38571772447284797 ,0.6925324636222745  ,0.4714920161883769  ,0.5835875037715139  ,0.6294325736606766  ,0.29670895736422725 ,0.7336229070306651  ,                    ,0.7959312430956876
2018090600 ,37     ,9       ,52.53928149489674  ,80.31586705004186 ,76.15657555326395 ,70.18057922246011 ,95.67463404685695  ,98.76985167549863  ,70.13469683402074 ,64.32224887237697 ,74.94168399495705 ,114.48397791830959 ,60.03912391099657  ,61.77531060221389  ,44.99868886978819  ,44.213600848607655 ,65.53702541312047  ,47.484618562224966 ,56.961362343258614 ,49.19463893555882  ,52.37884783001627  ,54.37283329016431  ,45.684117590252306 ,59.00048304887003  ,                   ,62.48965114320931  ,0.5352946879470798     ,0.5345900943720674  ,0.6744948590524066  ,0.5559863440066578  ,0.16971940646150424  ,0.4136394692346232  ,0.18483994012444402 ,0.39009120931783303 ,0.39676188410513946 ,0.23862308580698754  ,0.1437343352428405   ,0.2618223992754343  ,0.18144363957725534  ,0.08605256851652605 ,0.8390473347767587  ,0.38492541682327536 ,0.6914115486741831  ,0.4704656851682909  ,0.5755588485067913  ,0.6276469393452998  ,0.2965516240712414  ,0.731920636373792   ,                    ,0.7945639132776207
2018090600 ,37     ,10      ,52.53928149489674  ,80.33659004463658 ,76.20501951971406 ,70.24854233363138 ,95.77857067214984  ,98.76583265482046  ,70.18568301299061 ,64.33149772856217 ,74.95090726602314 ,114.48397791830959 ,60.142391871291586 ,61.846216537473005 ,45.19542012195484  ,44.314090309968    ,65.58085391331832  ,47.59585906357821  ,57.0552030931448   ,49.39095058813912  ,52.6406734379415   ,54.46596827377624  ,45.88416393484793  ,59.141174320434324 ,                   ,62.58069031258764  ,0.5352946879470798     ,0.5342927276702258  ,0.6738187168471308  ,0.5553852993703507  ,0.1704868577110883   ,0.41354675862789114 ,0.18484906159554165 ,0.3900320978735928  ,0.3967103258494836  ,0.23862308580698754  ,0.14398983965994966  ,0.2623521894636403  ,0.18064510857230687  ,0.08608344711996634 ,0.8373918563811751  ,0.3839787208486076  ,0.6898237043328099  ,0.4688992811109588  ,0.567821954030364   ,0.6243687293264729  ,0.2959031579614515  ,0.7300124044521802  ,                    ,0.7928556522657397
2018090600 ,37     ,11      ,52.56508727282777  ,80.36944817528611 ,76.2472642132162  ,70.34000639749758 ,95.89582733362282  ,98.78527116933982  ,70.2661582840559  ,64.34239659819954 ,74.97708249858754 ,114.48397791830959 ,60.27822907153129  ,61.93905149419064  ,45.42169635757784  ,44.45529214840456  ,65.61603005363857  ,47.75906720194606  ,57.21238502282525  ,49.6230964370423   ,52.902462135518796 ,54.581770766438126 ,46.090888470499245 ,59.306111826691186 ,                   ,62.67168180286851  ,0.5350035662757842     ,0.5337617521991617  ,0.6730408906066901  ,0.5542441784674897  ,0.1714403824952816   ,0.4132393260071151  ,0.18477969372954534 ,0.38962641979398044 ,0.3968532897528997  ,0.23862308580698754  ,0.1445012764812476   ,0.2629527592148819  ,0.1797353500184972   ,0.08626090942538345 ,0.8352058772852268  ,0.3823726994526363  ,0.687106886624767   ,0.46698213160940905 ,0.5604226682960609  ,0.6210375078843244  ,0.29498961436051785 ,0.7273004748460931  ,                    ,0.790475407369381
2018090600 ,37     ,12      ,53.98268055589681  ,80.42661810619666 ,76.3130296869414  ,70.47085213050853 ,96.04615817407795  ,98.79154670314662  ,70.35830086066605 ,64.37727083373449 ,75.05174881373517 ,114.47925226869714 ,60.46500227404279  ,62.068691785794876 ,45.68737243484243  ,44.63807567536934  ,65.6703715536923   ,48.00783477725277  ,57.382032902294426 ,49.91353824364688  ,53.17437822861683  ,54.72737157949393  ,46.34840342449781  ,59.49394927217389  ,                   ,62.798296951430146 ,0.5116326415165962     ,0.5327642494514546  ,0.672019108735468   ,0.5529285829703656  ,0.1725431438961989   ,0.41287991968869175 ,0.18482409270742944 ,0.3889003300214337  ,0.3971587190763364  ,0.23845333201571042  ,0.14505456954637358  ,0.26389226322749754 ,0.17867887229825347  ,0.08680626357035448 ,0.8322540015249597  ,0.3796167320447875  ,0.6835591998021829  ,0.46472278106209275 ,0.5536755053619964  ,0.6168933662074179  ,0.2939780233004997  ,0.724269369144732   ,                    ,0.7875375588497895
2018090600 ,37     ,13      ,56.152813820858526 ,80.50110682468906 ,76.3961576258911  ,70.63588960294902 ,96.20645508488504  ,98.82131146670743  ,70.4799326049621  ,64.42312628241508 ,75.14338560379083 ,114.48188765040521 ,60.695728021006545 ,62.220306974491855 ,46.013921806340306 ,44.86981167778622  ,65.73080632397567  ,48.30908196188373  ,57.5912849309685   ,50.26239349652979  ,53.45389228110521  ,54.90088706022882  ,46.63849482991491  ,59.727401584197516 ,                   ,62.95380608033163  ,0.47718720372038237    ,0.5316421893578341  ,0.6706524068352285  ,0.5513210958212984  ,0.17362449891349616  ,0.41230614455980136 ,0.1847901332092259  ,0.387770171875319   ,0.3976574386522526  ,0.2381780645922205   ,0.14599787508548837  ,0.26489883185508245 ,0.1776181064899433   ,0.0870279419114451  ,0.8287649482118051  ,0.37623963383308184 ,0.6794865406151973  ,0.4621350200662845  ,0.5471570779895151  ,0.6122032445202572  ,0.29231935895629796 ,0.7205940273393535  ,                    ,0.7837133396518746
2018090600 ,37     ,14      ,58.53848136055461  ,80.59503210496291 ,76.49840063687607 ,70.83330643136745 ,96.38829804493905  ,98.85743775761134  ,70.61323176289271 ,64.51160825773917 ,75.25735379349982 ,114.47010133654989 ,60.988789953564414 ,62.42811305814072  ,46.376394857729075 ,45.152231395579996 ,65.7965986962852   ,48.63881269110092  ,57.834267523674924 ,50.66536193495513  ,53.737379913799295 ,55.116662634814894 ,46.9890625571526   ,59.99935416319079  ,                   ,63.138850955651705 ,0.44370679714531114    ,0.5299500155963692  ,0.6687592243397247  ,0.5491115648428723  ,0.17476835747710048  ,0.4113736443413597  ,0.18486948113268561 ,0.38620579726468535 ,0.3981743886764725  ,0.23775360027397255  ,0.1471143985681162   ,0.2661537055386601  ,0.1759962383054721   ,0.08737148070300768 ,0.8243116137365705  ,0.37267971957886553 ,0.6747679458960456  ,0.45905765094398193 ,0.5411216128762184  ,0.6070249200197652  ,0.29051912913238453 ,0.7163997754940438  ,                    ,0.7790145565277429
2018090600 ,37     ,15      ,60.98635913054656  ,80.70142315969402 ,76.6323515233612  ,71.06523552342594 ,96.59805484584045  ,98.90002477249436  ,70.78768819505268 ,64.61128693966712 ,75.41985216108554 ,114.46100646071571 ,61.32592355602971  ,62.67723749496304  ,46.789964736041426 ,45.45457952725996  ,65.86272466274076  ,49.025113972330544 ,58.1053130100854   ,51.12707795288129  ,54.00560156131955  ,55.39420998624315  ,47.394456426886045 ,60.31673814124898  ,                   ,63.34705991598978  ,0.4137624518901283     ,0.528029850963093   ,0.6665482464026493  ,0.5466216071973979  ,0.17575163296538215  ,0.4100829928556629  ,0.18498347424947226 ,0.38424263609615766 ,0.39885045790044693 ,0.2370537569905535   ,0.1486077441724941   ,0.26738550234086506 ,0.1744245884551859   ,0.0876722053761106  ,0.8194380766980778  ,0.368726172797413   ,0.6692847404885698  ,0.45568766515454434 ,0.535338565905708   ,0.600920617096412   ,0.28818282222226815 ,0.7118271819099128  ,                    ,0.7735657171988
2018090600 ,37     ,16      ,63.4143461686707   ,80.83266666391751 ,76.80160219682921 ,71.3266542044417  ,96.81423500704842  ,98.9583872140204   ,70.99163330984857 ,64.75015443997026 ,75.60469958937738 ,114.44494659005264 ,61.71562200934218  ,62.96068932278299  ,47.25290361448701  ,45.82753975504249  ,65.94292228890073  ,49.4366311554499   ,58.41747854880421  ,51.643335484842574 ,54.28424172814796  ,55.72081926892317  ,47.83566556451368  ,60.660398943627136 ,                   ,63.59310654465623  ,0.38677295003506307    ,0.525652283183885   ,0.6636583032958726  ,0.5437375934071914  ,0.17650912335138877  ,0.4083947707360137  ,0.1850191335736461  ,0.38171088483235266 ,0.3995425719622386  ,0.23609895586105892  ,0.15028404342782242  ,0.26878735701105805 ,0.1726984609035969   ,0.08805212512438394 ,0.813710698846882   ,0.36442902173871855 ,0.6633252415788977  ,0.45187020258550337 ,0.5295198023937651  ,0.594523168176027   ,0.2854497783675156  ,0.7065163442784411  ,                    ,0.7676064466232255
2018090600 ,37     ,17      ,65.7048712045005   ,80.97169937700455 ,76.99870648264164 ,71.60923473966189 ,97.05647685754928  ,99.01958644631878  ,71.23489594292954 ,64.91730508885901 ,75.82110853845386 ,114.41735226791432 ,62.15794398144134  ,63.29511908512378  ,47.75539760069013  ,46.22131218388331  ,66.03847136328945  ,49.8923200502843   ,58.759071640045505 ,52.20106991240697  ,54.5473830719678   ,56.10238943218016  ,48.334845608525534 ,61.064501144281856 ,                   ,63.87103568911342  ,0.36185235206103517    ,0.5229450573839761  ,0.6601774865446106  ,0.5405392464081988  ,0.17700589616533688  ,0.40625763391937814 ,0.18495126834491948 ,0.37901892147434396 ,0.4001986111759831  ,0.23471891671371406  ,0.15213560467706427  ,0.2701180628415993  ,0.17086329435843967  ,0.08860320391177398 ,0.8073502967776682  ,0.3596621028954761  ,0.6566398836290982  ,0.44754069940038665 ,0.523944040001298   ,0.5873599301141975  ,0.2824203586553065  ,0.7008817869277414  ,                    ,0.760818397063496
2018090600 ,37     ,18      ,67.90750842138151  ,81.1360980082232  ,77.21804258073368 ,71.91831546970494 ,97.30505639482462  ,99.08390787610267  ,71.51747758415421 ,65.10744427482928 ,76.07438070730514 ,114.38073351749412 ,62.64153653926442  ,63.661242526359786 ,48.28594101806446  ,46.66668297618762  ,66.12885981173424  ,50.399481148122945 ,59.12109606561773  ,52.800185605734384 ,54.79856293736178  ,56.52025566113444  ,48.87290967396969  ,61.47947055725187  ,                   ,64.18788748665904  ,0.3391210766602329     ,0.5197881785481793  ,0.656011464742803   ,0.5371525511206784  ,0.17727973950442663  ,0.4036725979148682  ,0.18478104689379257 ,0.3755436386984906  ,0.40064574717929985 ,0.23299798227368076  ,0.15402081991324515  ,0.2714597613580268  ,0.16875766382266894  ,0.08947645580055183 ,0.8002617890575765  ,0.3548228029007512  ,0.6495903434099219  ,0.4431489557190647  ,0.5183539007409101  ,0.579905813171012   ,0.27922714609160504 ,0.6949881876811811  ,                    ,0.7537763918734897
2018090600 ,37     ,19      ,70.03228112806265  ,81.31751348879281 ,77.46444926545338 ,72.25756707778086 ,97.56627337353827  ,99.16090459450237  ,71.82771749123036 ,65.34131388333111 ,76.36839791432055 ,114.34273785422492 ,63.17474257961008  ,64.07563187359138  ,48.85779876334995  ,47.161885034421594 ,66.25052829978037  ,50.96073880940111  ,59.53204599205373  ,53.42320937570112  ,55.02420013048804  ,56.98324841565282  ,49.46919142254096  ,61.92742284319605  ,                   ,64.53780442500349  ,0.31804787105593163    ,0.5162480137574459  ,0.6514532274507854  ,0.5333940770735931  ,0.17711244947099175  ,0.4006014447501081  ,0.18439864002745826 ,0.3716678645906228  ,0.4010059736561255  ,0.23083026488019615  ,0.15575427310662288  ,0.2725758807512495  ,0.16676380437925656  ,0.09023755750152049 ,0.792549284958133   ,0.3494918993817727  ,0.6422580804742786  ,0.43844778631456577 ,0.5126765577476824  ,0.572086116857803   ,0.27577286924746985 ,0.6887630754234229  ,                    ,0.7461639212622709
2018090600 ,37     ,20      ,71.99075843467686  ,81.51137957365218 ,77.71832280743068 ,72.6150900295524  ,97.82221680170613  ,99.25488904834866  ,72.15763022716308 ,65.60989102261945 ,76.69144020032483 ,114.29621953503099 ,63.739332440809264 ,64.53131410408439  ,49.457801204663355 ,47.68789888430817  ,66.36909672430384  ,51.564441236185225 ,59.97243116632841  ,54.083683306520456 ,55.237034677831865 ,57.4834697978471   ,50.10457563935653  ,62.39956730619212  ,                   ,64.90687559881465  ,0.29789638667247786    ,0.512222387100811   ,0.6463833160005571  ,0.5295316242387633  ,0.1766441625556517   ,0.39713938827900913 ,0.18396880491899242 ,0.36745834751097123 ,0.4009196125388813  ,0.2283202581201026   ,0.15753984824154565  ,0.2736593210820904  ,0.16451711254712925  ,0.09113451363407428 ,0.7841196642005851  ,0.3441980162744705  ,0.634496849895185   ,0.4335441974171896  ,0.5065709855385083  ,0.5640207156942851  ,0.27218612622290655 ,0.6825497638257441  ,                    ,0.7382088792127687
2018090600 ,37     ,21      ,73.73378126747603  ,81.74150720411265 ,78.01425126218926 ,72.9882319281677  ,98.0989689038575   ,99.35860304976111  ,72.52870948803653 ,65.91571360457232 ,77.05662333634922 ,114.23923756748378 ,64.34044839756714  ,65.01594650545357  ,50.08765316921926  ,48.255621434191475 ,66.5209267824795   ,52.19784861466993  ,60.44653918960125  ,54.768557585534424 ,55.43354309441171  ,58.01812475425244  ,50.7818077661676   ,62.89748166659775  ,                   ,65.33060002785831  ,0.27863498565660144    ,0.5079778026281385  ,0.6409631082438403  ,0.5249580262386162  ,0.17562292062087792  ,0.39310337065582435 ,0.18357778549980522 ,0.3625882588839856  ,0.4004613061064253  ,0.2253816563563197   ,0.15888853842421247  ,0.274602388604668   ,0.16222749230140193  ,0.09234844094302601 ,0.7752996441449244  ,0.3388356586617888  ,0.6266920762292261  ,0.4283652552532994  ,0.5002825387354057  ,0.5559684155781254  ,0.26867000644215877 ,0.6761314165720035  ,                    ,0.7300617609234699
2018090600 ,37     ,22      ,75.37663895398892  ,81.97614104115904 ,78.31286612045304 ,73.37156124821115 ,98.36076707712279  ,99.46727401512518  ,72.92747767474204 ,66.26055387634486 ,77.4416715986942  ,114.17002145922545 ,64.97129520026517  ,65.53640972772311  ,50.726041635436125 ,48.84426066591652  ,66.68565437933408  ,52.85161870747196  ,60.94870794364717  ,55.47309978719415  ,55.613941597408825 ,58.56833615529811  ,51.47895200953492  ,63.42146718580389  ,                   ,65.77451558164455  ,0.26016655394079513    ,0.5033188567549408  ,0.6349455775384698  ,0.5203632756294292  ,0.17432472527416024  ,0.3886274763204257  ,0.18298098085708545 ,0.35755186953868967 ,0.3996185930507623  ,0.22192756305575836  ,0.16013859787672127  ,0.27521861826289434 ,0.15976872607981077  ,0.09369972955189654 ,0.7659923910144645  ,0.3334781162833922  ,0.6187236431845237  ,0.42316626687010006 ,0.4938074071847256  ,0.5477400137159024  ,0.26514462989155935 ,0.6695204720298519  ,                    ,0.7216046317267465
2018090600 ,37     ,23      ,76.90099739275168  ,82.2253276065228  ,78.61870642537944 ,73.75526082931306 ,98.63383699319418  ,99.57596597573131  ,73.3656084279276  ,66.62486397734708 ,77.85587710635595 ,114.09350638840056 ,65.62864313697183  ,66.08576397379393  ,51.39592590857762  ,49.47280667194858  ,66.87794554260769  ,53.52902483699848  ,61.49318661445348  ,56.20246346913986  ,55.796130690219016 ,59.14817748671551  ,52.21794423375933  ,63.971825829813554 ,                   ,66.24576212860714  ,0.242550182077561      ,0.49846346687235177 ,0.6286186050654282  ,0.515513619250345   ,0.17249915758174517  ,0.38384448455014625 ,0.18229177597234775 ,0.35198968396169694 ,0.398347995187205   ,0.21812706417128372  ,0.16099038474909041  ,0.27570150642600594 ,0.15747177621839764  ,0.09494212440279705 ,0.7564238329241192  ,0.32830803114839324 ,0.6106460304680871  ,0.4177184853140258  ,0.4869737710653657  ,0.5394046843007078  ,0.2617002892633829  ,0.6627295078929916  ,                    ,0.7129651724474351
2018090600 ,37     ,24      ,78.65150093927006  ,82.48458098335713 ,78.93226589931396 ,74.15707990475353 ,98.89059207022677  ,99.70001053159423  ,73.8449219648853  ,67.0314590323081  ,78.28628040723355 ,114.00801770051086 ,66.30921579991728  ,66.67089394930895  ,52.085833966636265 ,50.12133477871474  ,67.0842097665315   ,54.21730812203793  ,62.044177809041834 ,56.94776992999814  ,55.96741998698886  ,59.757915793641935 ,52.96720683592821  ,64.54703246470747  ,                   ,66.75121946451615  ,0.22033761063328372    ,0.49330911761410556 ,0.6219873340124055  ,0.510281246530175   ,0.17030224264173327  ,0.3785879589033497  ,0.18164611181836673 ,0.34595421733511933 ,0.3965892547739399  ,0.21389298774325538  ,0.161157029055567    ,0.2758685287843642  ,0.15517457555277703  ,0.09611503539963917 ,0.7465990787063741  ,0.3232087044276513  ,0.6024865691625108  ,0.41210879764695635 ,0.48010900055744543 ,0.5309774251664475  ,0.2583038807088592  ,0.6559884520018342  ,                    ,0.7042714792926366
2018090600 ,37     ,25      ,80.05793964373552  ,82.75898742734833 ,79.24589137614643 ,74.55031321195104 ,99.1526661265344   ,99.8195101170107   ,74.34393922842668 ,67.45265673048023 ,78.74231708554174 ,113.92811768830379 ,66.9964513985629   ,67.2698223574286   ,52.795776346219206 ,50.80075983683709  ,67.3124134168431   ,54.925961985203315 ,62.62968146174783  ,57.70005285959451  ,56.136773152720494 ,60.37548591936962  ,53.73641688836352  ,65.12896206757789  ,                   ,67.2769990412771   ,0.20325032257397171    ,0.4879671376808339  ,0.6151299015546918  ,0.5045709542076406  ,0.16780154292490784  ,0.3731580823137129  ,0.18096034615047096 ,0.33961333285228495 ,0.39430267153853804 ,0.2093768071989796   ,0.16100166545951636  ,0.2756655605907716  ,0.15287973650155334  ,0.09739655235433393 ,0.7364259916903201  ,0.3181234184808529  ,0.5943352765217766  ,0.40641648755903786 ,0.4731278858420449  ,0.5224947745869637  ,0.25490837512622816 ,0.6489365054560988  ,                    ,0.6955185596048136
